名前,平均順位,局収支,安定段位,安定レート,和了率,和了素点,和了巡目,放銃率,放銃素点,放銃巡目,立直率,立直巡目,立直成功率,副露率,副露巡目,流局聴牌率
シンデルラ,2.501,-7.758,7.314,2127.396,0.214,5325.265,10.511,0.123,4786.242,10.684,0.166,8.614,0.471,0.364,5.28,0.435
gijyutu,2.508,-0.098,6.732,2114.748,0.213,5580.417,10.549,0.126,4807.805,10.484,0.16,8.789,0.474,0.378,5.262,0.367
X猫,2.516,12.804,6.783,2101.67,0.213,5652.564,10.681,0.137,4934.368,10.626,0.156,9.061,0.476,0.345,5.771,0.468
しょぼんｎ,2.474,19.492,7.565,2168.816,0.213,5437.516,10.619,0.115,4820.419,10.798,0.167,8.828,0.484,0.362,5.919,0.421
イカにも東北,2.481,30.151,7.622,2168.913,0.206,5866.659,10.765,0.116,4981.305,11.031,0.178,8.915,0.483,0.321,5.801,0.433
ピラオ,2.476,8.392,7.315,2176.19,0.207,6063.92,10.912,0.13,5113.442,10.845,0.174,9.09,0.486,0.33,5.678,0.467
GOKIGEN,2.53,-31.768,6.486,2106,0.2,5964.639,10.879,0.125,5059.078,10.803,0.164,8.948,0.47,0.33,6.176,0.434
安斎,2.429,91.663,8.655,2240.034,0.227,5565.954,10.633,0.121,5087.456,10.796,0.196,8.745,0.477,0.388,5.604,0.475
taroo,2.442,58.128,8.559,2199.256,0.214,5504.723,10.628,0.114,4782.453,10.556,0.153,8.722,0.493,0.358,5.739,0.403
Kitamura,2.466,27.157,7.582,2190.72,0.215,5693.523,10.86,0.12,4988.941,10.862,0.184,8.929,0.489,0.287,6.169,0.434
saki6342,2.468,25.578,7.717,2186.018,0.208,5803.014,10.676,0.115,4996.031,10.907,0.187,8.932,0.485,0.346,5.986,0.441
超ヒモリロ,2.452,48.949,8.135,2184.488,0.211,5805.978,10.807,0.121,4975.218,10.796,0.179,8.874,0.485,0.347,5.757,0.427
沖２９,2.435,66.001,8.165,2219.524,0.215,5759.877,10.711,0.132,4764.185,10.71,0.171,8.989,0.49,0.347,5.592,0.456
nakajuun,2.416,91.897,8.362,2233.929,0.226,5595.842,10.666,0.133,4931.86,10.619,0.183,8.753,0.486,0.394,5.673,0.502
完全無敵少女EX,2.479,-6.573,7.459,2157.048,0.22,5208.97,10.575,0.127,4863.307,10.506,0.158,8.543,0.492,0.392,5.692,0.462
あいあおい,2.436,78.419,8.301,2209.48,0.219,5636.184,10.703,0.124,4879.338,10.758,0.174,8.813,0.501,0.344,5.416,0.428
くうたろ,2.458,43.313,7.982,2194.834,0.212,5639.041,10.524,0.116,4898.433,10.65,0.172,8.825,0.48,0.361,5.624,0.425
はみもん,2.465,20.051,8.412,2186.622,0.2,5631.798,10.599,0.102,4915.547,10.735,0.149,8.631,0.506,0.324,5.46,0.377
アメンポてふ,2.477,23.083,7.405,2172.611,0.217,5516.993,10.547,0.121,5036.176,10.655,0.161,8.869,0.481,0.43,5.274,0.456
ふか,2.488,21.395,7.671,2152.709,0.211,5474.493,10.485,0.11,4826.26,10.48,0.167,8.586,0.5,0.337,5.474,0.382
まないたようじょ,2.52,-48.235,6.908,2097.948,0.195,5602.784,10.551,0.111,4860.343,10.703,0.159,8.631,0.48,0.366,5.508,0.385
